step,actor_q_mean,actor_q_std,q1_value,q2_value
1100,2.286350727081299,0.1806943714618683,,
1200,11.452741622924805,1.2971140146255493,,
1300,27.564424514770508,4.454279899597168,,
1400,55.47043991088867,9.376011848449707,,
1500,108.98197937011719,22.28595733642578,,
1600,209.23399353027344,40.60038757324219,,
1700,370.346923828125,88.1063461303711,,
1800,622.9195556640625,141.19400024414062,,
1900,1037.4608154296875,235.12045288085938,,
2000,1632.462158203125,409.76025390625,,
2100,2562.901611328125,596.0860595703125,,
2200,3704.5380859375,1017.148193359375,,
2300,5412.69189453125,1383.064697265625,,
2400,7464.02197265625,2187.21484375,,
2500,10403.92578125,2564.87548828125,,
2600,13246.1982421875,4429.6982421875,,
2700,18709.94921875,5351.68896484375,,
2800,24287.419921875,6992.11962890625,,
2900,32056.25390625,8843.5498046875,,
3000,41491.55859375,10206.5458984375,,
3100,50439.0078125,14586.2158203125,,
3200,64330.3515625,18412.958984375,,
3300,82951.6953125,21436.71875,,
3400,106516.015625,31838.939453125,,
3500,134335.09375,34629.703125,,
3600,168790.203125,39546.8515625,,
3700,204286.953125,46224.73828125,,
3800,244612.46875,66136.6796875,,
3900,291385.125,70069.65625,,
4000,345845.5,92179.296875,,
4100,427989.09375,106136.8046875,,
4200,513256.125,117410.953125,,
4300,541390.6875,156993.5625,,
4400,659833.3125,193509.78125,,
4500,727229.25,233406.5,,
4600,852062.625,281933.96875,,
4700,1081684.0,343866.28125,,
4800,1244042.0,415114.96875,,
4900,1458242.0,506133.53125,,
5000,1796760.125,538780.0625,,
