step,episode_reward,episode_length
0,721.862548828125,50.0
1,873.9423828125,50.0
2,1194.9088134765625,72.0
3,404.8527526855469,37.0
4,608.1422729492188,50.0
5,1156.863037109375,70.0
6,996.9857177734375,64.0
7,1023.9215698242188,57.0
8,2176.217041015625,97.0
9,663.1521606445312,52.0
10,891.9386596679688,53.0
11,429.9708251953125,35.0
12,369.1070861816406,35.0
13,754.5056762695312,56.0
14,633.2285766601562,48.0
15,1138.1038818359375,71.0
16,1145.606201171875,71.0
17,383.2674865722656,40.0
18,262.9261779785156,36.0
19,82.56709289550781,20.0
20,75.9952392578125,17.0
21,75.98609161376953,18.0
22,73.2118148803711,17.0
23,77.3512954711914,17.0
24,77.22589874267578,17.0
25,93.43293762207031,20.0
26,79.75127410888672,17.0
27,97.33611297607422,19.0
28,76.19297790527344,18.0
29,71.70407104492188,18.0
30,70.4427490234375,18.0
31,72.79827880859375,18.0
32,69.7430419921875,18.0
33,55.50757598876953,17.0
34,78.73506164550781,18.0
35,60.258766174316406,17.0
36,61.790565490722656,17.0
37,61.142086029052734,18.0
38,64.57850646972656,18.0
39,63.39202880859375,17.0
40,48.93292999267578,17.0
41,67.95347595214844,18.0
42,59.5345344543457,17.0
43,60.29206085205078,17.0
44,83.75962829589844,19.0
45,61.62673568725586,17.0
46,66.64055633544922,17.0
47,59.07443618774414,17.0
48,73.3507308959961,18.0
49,82.50297546386719,18.0
50,45.82537841796875,16.0
51,71.80726623535156,17.0
52,58.738224029541016,17.0
53,62.9283332824707,17.0
54,66.9428939819336,19.0
55,52.39809799194336,17.0
56,66.95095825195312,18.0
57,53.09187316894531,17.0
58,67.34088134765625,18.0
59,66.68392944335938,17.0
60,64.73985290527344,18.0
61,58.6997184753418,17.0
62,60.78183364868164,17.0
63,56.26179885864258,17.0
64,82.96577453613281,18.0
65,54.3140869140625,18.0
66,60.105716705322266,18.0
67,72.386474609375,18.0
68,50.09053421020508,17.0
69,74.19518280029297,18.0
70,72.50444030761719,18.0
71,64.64899444580078,17.0
72,54.11442565917969,17.0
73,68.78394317626953,19.0
74,56.44226837158203,17.0
75,64.24774169921875,18.0
76,56.60089874267578,17.0
77,55.612728118896484,17.0
78,60.01700973510742,17.0
79,65.8349609375,17.0
80,58.058956146240234,17.0
81,55.18277359008789,17.0
82,65.32112884521484,18.0
83,74.21841430664062,18.0
84,47.91594314575195,16.0
85,63.561405181884766,18.0
86,64.22677612304688,17.0
87,62.65946578979492,18.0
88,55.94248580932617,18.0
89,61.19662857055664,17.0
90,61.90898513793945,17.0
91,82.29560089111328,18.0
92,78.33209991455078,18.0
93,61.01341247558594,17.0
94,66.36563873291016,18.0
95,71.91668701171875,17.0
96,65.39965057373047,17.0
97,71.09922790527344,18.0
98,60.75008773803711,17.0
99,54.343406677246094,17.0
100,61.988712310791016,17.0
101,68.83836364746094,18.0
102,67.18013000488281,17.0
103,53.75529861450195,17.0
104,49.72953414916992,16.0
105,74.66374969482422,18.0
106,62.6646842956543,17.0
107,65.86784362792969,17.0
108,61.64629364013672,17.0
109,58.22077941894531,17.0
110,54.347984313964844,17.0
111,63.621952056884766,17.0
112,71.83968353271484,18.0
113,58.03794860839844,17.0
114,63.91476058959961,18.0
115,55.936336517333984,17.0
116,51.60757064819336,17.0
117,59.68829345703125,17.0
